Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",64.484000,-101.854000,90.000000,top
"C2","47uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",120.738000,-107.950000,0.000000,top
"C3","47uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",109.383000,-106.375000,180.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.494000,-119.126000,0.000000,top
"C5","47uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",109.388000,-104.050000,180.000000,top
"C6","47uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",105.788000,-117.094000,180.000000,top
"C7","47uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.208000,-105.100000,0.000000,top
"C8","47uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.208000,-107.150000,0.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",62.458000,-111.810000,-90.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",67.828000,-111.810000,-90.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",73.198000,-111.810000,-90.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.208000,-109.190000,0.000000,top
"D1","green","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.138000,-101.650000,90.000000,top
"D2","red","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.038000,-101.650000,90.000000,top
"D3","D_Schottky","D_SMA",109.583000,-116.675000,90.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",73.113000,-103.950000,90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",122.888000,-101.150000,180.000000,top
"J2","I2C OLED","PinSocket_1x04_P2.54mm_Vertical",52.578000,-109.738000,0.000000,top
"L1","3.3uH","CD43",109.738000,-110.200000,-90.000000,top
"NTC1","Thermistor_NTC","PinSocket_1x02_P2.54mm_Vertical",72.083000,-118.165000,180.000000,top
"NTC2","Thermistor_NTC","PinSocket_1x02_P2.54mm_Vertical",66.713000,-118.165000,180.000000,top
"NTC3","Thermistor_NTC","PinSocket_1x02_P2.54mm_Vertical",61.343000,-118.165000,180.000000,top
"R1","51K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",70.988000,-111.847500,90.000000,top
"R2","51K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.618000,-111.847500,90.000000,top
"R3","51K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",60.248000,-111.810000,90.000000,top
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",55.372000,-113.030000,90.000000,top
"R5","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",125.838000,-108.400000,-90.000000,top
"R6","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.763000,-108.400000,-90.000000,top
"R7","20K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.138000,-103.050000,180.000000,top
"R8","15K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.138000,-101.030000,0.000000,top
"R9","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.138000,-105.550000,-90.000000,top
"R10","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.038000,-105.575000,-90.000000,top
"R12","3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.775500,-109.982000,180.000000,top
"R13","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",125.494000,-117.094000,180.000000,top
"R14","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",55.372000,-116.840000,90.000000,top
"R15","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",68.834000,-101.854000,90.000000,top
"R16","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.684000,-101.854000,-90.000000,top
"R17","26k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.388000,-101.750000,180.000000,top
"R18","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.775500,-112.014000,180.000000,top
"R19","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.783000,-114.775000,180.000000,top
"R20","68k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.098000,-111.840000,90.000000,top
"R21","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",102.128000,-109.650000,180.000000,top
"SW1","SW_SPST","PinHeader_1x02_P2.54mm_Vertical",115.847000,-117.348000,-90.000000,top
"SW2","SW_Push","SW_SPST_CK_RS282G05A3",53.375000,-101.346000,0.000000,top
"SW3","SW_Push","SW_SPST_CK_RS282G05A3",53.340000,-105.664000,0.000000,top
"U1","TP4056","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias",115.888000,-111.350000,90.000000,top
"U2","DW01","SOT-23-6_Handsoldering",124.613000,-113.030000,-90.000000,top
"U3","FS8205A","SOT-23-6_Handsoldering",120.668000,-116.650000,90.000000,top
"U4","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",86.288000,-106.675000,180.000000,top
"U5","FP6298","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias",102.883000,-103.775000,-90.000000,top
"U6","LM1117-3.3","SOT-223-3_TabPin2",99.988000,-115.550000,90.000000,top
